Title	Barcode	Email	Library	RBID	Checkouts	Time Period	Current Issue Default	Status	Checkout Date	Issue Date
Men’s Fitness Quick Fix Fat Loss				RBZ0009297	0	Annually	Unlimited	Active		
International Artist				RBZ0009325	0	Monthly	500	Active		
Afrique Magazine				RBZ0009612	0	Monthly	2500	Active		
Chasseur d'images				RBZ0009637	0	Annually	Unlimited	Active		
Crash Magazine				RBZ0009643	0	Monthly	2500	Active		
Dreams				RBZ0009656	0	Monthly	2500	Active		
L'Ami des Jardins				RBZ0009690	0	Monthly	2500	Active		
Photo				RBZ0009747	0	Monthly	2500	Active		
American Farmhouse Style				RBZ0009827	0	Monthly	2500	Active		
HELLO! Fashion Monthly				RBZ0009846	0	Monthly	2500	Active		
Southern Cast Iron				RBZ0009887	0	Monthly	2500	Active		
Atlanta Homes & Lifestyles				RBZ0009971	0	Monthly	2500	Active		
Harrowsmith				RBZ0010001	0	Annually	Unlimited	Active		
ASPIRE DESIGN AND HOME				RBZ0010004	0	Monthly	2500	Active		
The Saturday Evening Post				RBZ0010006	0	Monthly	2500	Active		
Zen et bien dans ma vie				RBZ0010041	0	Monthly	2500	Active		
CREATIVE MACHINE EMBROIDERY				RBZ0010042	0	Monthly	500	Active		
QUILTMAKER				RBZ0010043	0	Monthly	500	Active		
McCall's Quilting				RBZ0010044	0	Monthly	500	Active		
QUICK QUILTS				RBZ0010046	0	Monthly	500	Active		
SEW NEWS				RBZ0010047	0	Monthly	500	Active		
National Geographic History				RBZ0010048	0	Monthly	200	Active		
Alberta Views Magazine				RBZ0010073	0	Monthly	500	Active		
Honeysuckle Magazine				RBZ0010074	0	Monthly	500	Active		
Food and Travel				RBZ0010075	0	Monthly	500	Active		
Air & Space				RBZ0010076	0	Monthly	2500	Active		
British Columbia History				RBZ0010077	0	Monthly	2500	Active		
Enzo				RBZ0010083	0	Monthly	2500	Active		
ROVA				RBZ0010084	0	Monthly	2500	Active		
APC				RBZ0010085	0	Monthly	2500	Active		
Homebuilding & Renovating				RBZ0010086	0	Monthly	2500	Active		
Period Living				RBZ0010087	0	Monthly	2500	Active		
Real Homes				RBZ0010088	0	Monthly	2500	Active		
T3 Australia				RBZ0010089	0	Monthly	2500	Active		
TechLife				RBZ0010090	0	Monthly	2500	Active		
Horizons Perigord				RBZ0010091	0	Monthly	2500	Active		
Aero Magazine International				RBZ0010092	0	Monthly	2500	Active		
Kruger Magazine				RBZ0010093	0	Monthly	2500	Active		
Woolworths TASTE				RBZ0010095	0	Monthly	2500	Active		
Pip Permaculture Magazine				RBZ0010098	0	Monthly	2500	Active		
Kamp en Karavaan				RBZ0010125	0	Monthly	2500	Active		
Green Magazine				RBZ0010129	0	Monthly	2500	Active		
Treadlie Magazine				RBZ0010130	0	Monthly	2500	Active		
Interstation Magazine				RBZ0010142	0	Monthly	2500	Active		
Dr Good ! C'est bon !				RBZ0010143	0	Monthly	2500	Active		
All Natura				RBZ0010150	0	Monthly	2500	Active		
Heritage & Co				RBZ0010151	0	Monthly	2500	Active		
Méthode 80-20				RBZ0010152	0	Monthly	2500	Active		
New art time				RBZ0010153	0	Monthly	2500	Active		
MoneyWeek				RBZ0010159	0	Monthly	2500	Active		
Bass Player				RBZ0010161	0	Monthly	2500	Active		
Guitar World				RBZ0010162	0	Monthly	2500	Active		
Essential iPhone & iPad Magazine				RBZ0010163	0	Monthly	2500	Active		
Sound On Sound USA				RBZ0010165	0	Monthly	2500	Active		
Parcelle99 - English edition				RBZ0010169	0	Annually	Unlimited	Active		
American Frontiersman				RBZ0010185	0	Monthly	500	Active		
The New Pioneer				RBZ0010187	0	Monthly	500	Active		
Mopar Action				RBZ0010189	0	Monthly	500	Active		
Beckett Football				RBZ0010192	0	Monthly	500	Active		
COINage				RBZ0010193	0	Monthly	500	Active		
Cottage Life				RBZ0010194	0	Monthly	500	Active		
Blade				RBZ0010195	0	Monthly	500	Active		
Antique Trader				RBZ0010198	0	Weekly	500	Active		
Banknote Reporter				RBZ0010199	0	Monthly	500	Active		
Coins				RBZ0010200	0	Monthly	500	Active		
Easy Quilts				RBZ0010201	0	Monthly	500	Active		
Goldmine				RBZ0010202	0	Monthly	500	Active		
Horticulture				RBZ0010203	0	Monthly	500	Active		
Old Cars Report Price Guide				RBZ0010208	0	Monthly	500	Active		
Southwest Art				RBZ0010210	0	Monthly	500	Active		
Sports Collectors Digest				RBZ0010211	0	Weekly	500	Active		
Trapper & Predator Caller				RBZ0010213	0	Monthly	500	Active		
World Coin News				RBZ0010214	0	Monthly	500	Active		
Celebrate with Woman's World				RBZ0010216	0	Monthly	500	Active		
The Ultimate Guide to the Smart Home				RBZ0010217	0	Monthly	500	Active		
Residential Tech Today				RBZ0010218	0	Monthly	500	Active		
Astronomy for Kids				RBZ0010219	0	Monthly	500	Active		
Christmas & Electric Trains				RBZ0010220	0	Monthly	500	Active		
Great War Scale Modeling				RBZ0010222	0	Monthly	500	Active		
Garden & Gun				RBZ0010228	0	Annually	Unlimited	Active		
Ultimate Adventure Bike				RBZ0010230	0	Annually	Unlimited	Active		
Super pâtisserie & dessert				RBZ0010231	0	Annually	Unlimited	Active		
Sur la Route des Chefs				RBZ0010232	0	Annually	Unlimited	Active		
Total	0					
