Library Name	Title	RBID	Zenith Issue Id	Issue Date
8080 Test Library	Truckin	RBZ0000818	431590	07/01/2019
8080 Test Library	Truckin	RBZ0000818	431591	08/01/2019
8080 Test Library	Truckin	RBZ0000818	431592	09/01/2019
8080 Test Library	Truckin	RBZ0000818	431593	10/01/2019
8080 Test Library	Truckin	RBZ0000818	431594	11/01/2019
8080 Test Library	Truckin	RBZ0000818	431595	12/01/2019
8080 Test Library	Truckin	RBZ0000818	431596	01/01/2020
8080 Test Library	Truckin	RBZ0000818	431597	02/01/2020
8080 Test Library	Truckin	RBZ0000818	431598	03/01/2020
8080 Test Library	UAAP Magazine	RBZ0008715	320512	05/01/2016
8080 Test Library	Vette Magazine	RBZ0003594	431575	04/01/2019
8080 Test Library	Vette Magazine	RBZ0003594	431576	05/01/2019
8080 Test Library	Vette Magazine	RBZ0003594	431577	06/01/2019
8080 Test Library	Vette Magazine	RBZ0003594	431578	07/01/2019
8080 Test Library	Vette Magazine	RBZ0003594	431579	08/01/2019
8080 Test Library	Vette Magazine	RBZ0003594	431580	09/01/2019
8080 Test Library	Vette Magazine	RBZ0003594	431581	10/01/2019
8080 Test Library	Vette Magazine	RBZ0003594	431582	11/01/2019
8080 Test Library	Vette Magazine	RBZ0003594	431583	12/01/2019
8080 Test Library	Vette Magazine	RBZ0003594	431584	01/01/2020
8080 Test Library	Vette Magazine	RBZ0003594	431585	02/01/2020
8080 Test Library	Vette Magazine	RBZ0003594	431586	03/01/2020
8080 Test Library	Win Magazine - Speciali	RBZ0008010	376539	01/01/2018
8080 Test Library	Women's Fitness 30 Day Challenge	RBZ0007715	344984	12/01/2014
8080 Test Library	Women's Fitness Tone up at Home	RBZ0001031	342246	11/01/2011
8080 Test Library	Womens Fitness 4 Weeks To Skinny Jeans	RBZ0007670	344867	10/01/2014
8080 Test Library	Womens Fitness Best Body Bootcamp	RBZ0005819	343263	02/01/2013
8080 Test Library	World Histories 2	RBZ0009227	379886	02/01/2017
8080 Test Library	Your Family Tree presents: Get started in Military family history	RBZ0006744	240307	10/01/2013
8080 Test Library	Zoom Magazine	RBZ0005676	394910	04/05/2019
8080 Test Library	ZUHAUSE WOHNEN	RBZ0009077	399821	02/01/2019
8080 Test Library	ZUHAUSE WOHNEN	RBZ0009077	440490	03/01/2019
8080 Test Library	ZUHAUSE WOHNEN	RBZ0009077	440491	04/01/2019
8080 Test Library	ZUHAUSE WOHNEN	RBZ0009077	440492	05/01/2019
8080 Test Library	ZUHAUSE WOHNEN	RBZ0009077	440493	06/01/2019
8080 Test Library	ZUHAUSE WOHNEN	RBZ0009077	440494	07/01/2019
8080 Test Library	ZUHAUSE WOHNEN	RBZ0009077	440495	08/01/2019
Total	358
