Library Name	Title	RBID	Issue Date	Remaining Circs
8080 Test Library	CAPTAIN AMERICA: WHITE - Special	RBC0424451		
8080 Test Library	CAPTAIN AMERICA: WINTER SOLDIER VOL. 1 - Special	RBC0424452		
8080 Test Library	CAPTAIN AMERICA: WINTER SOLDIER VOL. 2 - Special	RBC0424453		
8080 Test Library	CAPTAIN MARVEL VOL. 1: HIGHER, FURTHER, FASTER, MORE - Special	RBC0424456		
8080 Test Library	CAPTAIN MARVEL VOL. 1: IN PURSUIT OF FLIGHT - Special	RBC0424459		
8080 Test Library	CAPTAIN MARVEL VOL. 1: RISE OF ALPHA FLIGHT - Special	RBC0424454		
8080 Test Library	CAPTAIN MARVEL VOL. 2: CIVIL WAR II - Special	RBC0424455		
8080 Test Library	CAPTAIN MARVEL VOL. 2: DOWN - Special	RBC0424460		
8080 Test Library	CAPTAIN MARVEL VOL. 2: STAY FLY - Special	RBC0424457		
8080 Test Library	CAPTAIN MARVEL VOL. 3: ALIS VOLAT PROPRIIS - Special	RBC0424458		
8080 Test Library	Cartoon Network: Super Secret Crisis War! Vol. 1	RBC0424260		
8080 Test Library	Cartoon Network: Super Secret Crisis War! Vol. 2	RBC0424262		
8080 Test Library	CHAMPIONS VOL. 1: CHANGE THE WORLD - Special	RBC0424461		
8080 Test Library	Chasing the Dead	RBC0406798		
8080 Test Library	Children of the Grave	RBC0387462		
8080 Test Library	CIVIL WAR - Special	RBC0424462		
8080 Test Library	CIVIL WAR II - Special	RBC0424463		
8080 Test Library	CIVIL WAR: AMAZING SPIDER-MAN - Special	RBC0424464		
8080 Test Library	CIVIL WAR: BLACK PANTHER - Special	RBC0424465		
8080 Test Library	CIVIL WAR: CAPTAIN AMERICA/IRON MAN - Special	RBC0424466		
8080 Test Library	CIVIL WAR: THE ROAD TO CIVIL WAR - Special	RBC0424467		
8080 Test Library	Cold War, Vol 1: The Damocles Contract	RBC0387463		
8080 Test Library	Comic Book History of Comics	RBC0387464		
8080 Test Library	The Crow: Midnight Legends, Vol. 1: Dead Time	RBC0387543		
8080 Test Library	The Crow: Midnight Legends, Vol. 2: Flesh & Blood	RBC0387544		
8080 Test Library	The Crow: Midnight Legends, Vol. 3: Wild Justice	RBC0387545		
8080 Test Library	The Crow: Midnight Legends, Vol. 4: Waking Nightmares	RBC0387546		
8080 Test Library	Crysis	RBC0389798		
8080 Test Library	CSI: Bad Rap	RBC0387465		
8080 Test Library	CSI: Serial	RBC0387466		
8080 Test Library	Danger Girl Deluxe	RBC0387467		
8080 Test Library	Danger Girl: Revolver	RBC0387468		
8080 Test Library	Danger Girl: Trinity	RBC0387469		
8080 Test Library	DAREDEVIL BY BENDIS AND MALEEV ULTIMATE COLLECTION VOL. 1 - Special	RBC0424468		
8080 Test Library	DAREDEVIL BY BENDIS AND MALEEV ULTIMATE COLLECTION VOL. 2 - Special	RBC0424469		
8080 Test Library	DAREDEVIL BY BENDIS AND MALEEV ULTIMATE COLLECTION VOL. 3 - Special	RBC0424470		
8080 Test Library	DAREDEVIL BY FRANK MILLER & KLAUS JANSON VOL. 1 - Special	RBC0424471		
8080 Test Library	DAREDEVIL BY FRANK MILLER & KLAUS JANSON VOL. 2 - Special	RBC0424472		
8080 Test Library	DAREDEVIL BY FRANK MILLER & KLAUS JANSON VOL. 3 - Special	RBC0424473		
8080 Test Library	DAREDEVIL BY MARK WAID VOL. 1 - Special	RBC0424474		
8080 Test Library	DAREDEVIL BY MARK WAID VOL. 2 - Special	RBC0424475		
8080 Test Library	DAREDEVIL BY MARK WAID VOL. 3 - Special	RBC0424476		
8080 Test Library	DAREDEVIL BY MARK WAID VOL. 4 - Special	RBC0424477		
8080 Test Library	DAREDEVIL BY MARK WAID VOL. 5 - Special	RBC0424478		
8080 Test Library	DAREDEVIL BY MARK WAID VOL. 6 - Special	RBC0424479		
8080 Test Library	DAREDEVIL BY MARK WAID VOL. 7 - Special	RBC0424480		
8080 Test Library	DAREDEVIL VOL. 1: DEVIL AT BAY - Special	RBC0424481		
8080 Test Library	DAREDEVIL VOL. 2: WEST-CASE SCENARIO - Special	RBC0424482		
8080 Test Library	DAREDEVIL VOL. 3: THE DAREDEVIL YOU KNOW - Special	RBC0424483		
8080 Test Library	DAREDEVIL VOL. 4: THE AUTOBIOGRAPHY OF MATT MURDOCK - Special	RBC0424484		
8080 Test Library	DAREDEVIL/PUNISHER: SEVENTH CIRCLE - Special	RBC0424485		
8080 Test Library	DAREDEVIL: BACK IN BLACK VOL. 1 - CHINATOWN - Special	RBC0424486		
8080 Test Library	DAREDEVIL: BACK IN BLACK VOL. 2 - SUPERSONIC - Special	RBC0424487		
8080 Test Library	DAREDEVIL: BACK IN BLACK VOL. 3 - DARK ART - Special	RBC0424488		
8080 Test Library	DAREDEVIL: BACK IN BLACK VOL. 4 - IDENTITY - Special	RBC0424489		
8080 Test Library	DAREDEVIL: BORN AGAIN - Special	RBC0424490		
8080 Test Library	DAREDEVIL: THE MAN WITHOUT FEAR - Special	RBC0424491		
8080 Test Library	DAREDEVIL: YELLOW - Special	RBC0424492		
8080 Test Library	Dead Rising: Road to Fortune	RBC0387470		
8080 Test Library	DEADPOOL & CABLE: SPLIT SECOND - Special	RBC0424493		
8080 Test Library	DEADPOOL CLASSIC VOL. 1 - Special	RBC0424494		
8080 Test Library	DEADPOOL CLASSIC VOL. 2 - Special	RBC0424495		
8080 Test Library	DEADPOOL CLASSIC VOL. 3 - Special	RBC0424496		
8080 Test Library	DEADPOOL CLASSIC VOL. 4 - Special	RBC0424497		
8080 Test Library	DEADPOOL CLASSIC VOL. 5 - Special	RBC0424498		
8080 Test Library	DEADPOOL KILLS DEADPOOL - Special	RBC0424499		
8080 Test Library	DEADPOOL KILLS THE MARVEL UNIVERSE - Special	RBC0424500		
8080 Test Library	DEADPOOL V GAMBIT: THE “V” IS FOR “VS.” - Special	RBC0424501		
8080 Test Library	DEADPOOL VOL. 1: DEAD PRESIDENTS - Special	RBC0424502		
8080 Test Library	DEADPOOL VOL. 2: SOUL HUNTER - Special	RBC0424503		
8080 Test Library	DEADPOOL VOL. 3: THE GOOD, THE BAD AND THE UGLY - Special	RBC0424504		
8080 Test Library	DEADPOOL VOL. 4: DEADPOOL VS S.H.I.E.L.D. - Special	RBC0424505		
8080 Test Library	DEADPOOL VOL. 5: WEDDING OF DEADPOOL - Special	RBC0424506		
8080 Test Library	DEADPOOL VS. THANOS - Special	RBC0424507		
8080 Test Library	DEADPOOL VS. THE MARVEL UNIVERSE - Special	RBC0424508		
8080 Test Library	DEADPOOL VS. THE PUNISHER - Special	RBC0424509		
8080 Test Library	DEADPOOL: WORLDS GREATEST VOL. 4 - TEMPORARY INSANITATION - Special	RBC0424513		
8080 Test Library	DEADPOOL: WORLDS GREATEST VOL. 5 - CIVIL WAR II - Special	RBC0424514		
8080 Test Library	DEADPOOL: WORLDS GREATEST VOL. 6 - PATIENCE: ZERO - Special	RBC0424515		
8080 Test Library	DEADPOOL: WORLDS GREATEST VOL. 7 - DEADPOOL DOES SHAKESPEARE - Special	RBC0424516		
8080 Test Library	DEADPOOL: WORLDS GREATEST VOL. 8 - TIL DEATH DO US... - Special	RBC0424517		
8080 Test Library	DEADPOOL: WORLD’S GREATEST VOL. 1 - MILLIONAIRE WITH A MOUTH - Special	RBC0424510		
8080 Test Library	DEADPOOL: WORLD’S GREATEST VOL. 2: END OF ERROR - Special	RBC0424511		
8080 Test Library	DEADPOOL: WORLD’S GREATEST VOL. 3 - DEADPOOL VS. SABRETOOTH - Special	RBC0424512		
8080 Test Library	Death By Chocolate: Redux	RBC0387471		
8080 Test Library	DEATH OF WOLVERINE - Special	RBC0424518		
8080 Test Library	DEATH OF X - Special	RBC0424519		
8080 Test Library	The Devil's Concubine	RBC0387547		
8080 Test Library	Dinosaurs Attack!	RBC0406799		
8080 Test Library	DOCTOR STRANGE VOL. 1: THE WAY OF THE WEIRD - Special	RBC0424520		
8080 Test Library	DOCTOR STRANGE VOL. 2: THE LAST DAYS OF MAGIC - Special	RBC0424521		
8080 Test Library	DOCTOR STRANGE VOL. 3: BLOOD IN THE AETHER - Special	RBC0424522		
8080 Test Library	DOCTOR STRANGE VOL. 4: MR. MISERY - Special	RBC0424523		
8080 Test Library	DOCTOR STRANGE/PUNISHER: MAGIC BULLETS - Special	RBC0424524		
8080 Test Library	DOCTOR STRANGE: THE OATH - Special	RBC0424525		
8080 Test Library	Doomsday.1	RBC0406800		
8080 Test Library	DRAX VOL. 1: THE GALAXYS BEST DETECTIVE - Special	RBC0424526		
8080 Test Library	Drive	RBC0387472		
8080 Test Library	Dungeons & Dragons Forgotten Realms Classics Vol. 1	RBC0387473		
8080 Test Library	Dungeons & Dragons Forgotten Realms Classics Vol. 2	RBC0387474		
8080 Test Library	Dungeons & Dragons Forgotten Realms Classics Vol. 3	RBC0387475		
8080 Test Library	Dungeons & Dragons Forgotten Realms Classics Vol. 4	RBC0387476		
8080 Test Library	Dungeons & Dragons: Cutter	RBC0387477		
8080 Test Library	Dungeons & Dragons: Drizzt - Neverwinter Tales	RBC0387478		
8080 Test Library	EARTH X - Special	RBC0424527		
8080 Test Library	EDGE OF VENOMVERSE - Special	RBC0424528		
8080 Test Library	Edward Scissorhands Vol. 1: Parts Unknown	RBC0424274		
8080 Test Library	ELEKTRA VOL. 1: BLOODLINES - Special	RBC0424529		
8080 Test Library	FANTASTIC FOUR BY JONATHAN HICKMAN VOL. 1 - Special	RBC0424530		
8080 Test Library	FANTASTIC FOUR BY JONATHAN HICKMAN VOL. 2 - Special	RBC0424531		
8080 Test Library	FANTASTIC FOUR BY JONATHAN HICKMAN VOL. 3 - Special	RBC0424532		
8080 Test Library	FANTASTIC FOUR BY JONATHAN HICKMAN VOL. 4 - Special	RBC0424533		
8080 Test Library	FANTASTIC FOUR BY JONATHAN HICKMAN VOL. 5 - Special	RBC0424534		
8080 Test Library	FANTASTIC FOUR BY JONATHAN HICKMAN VOL.6 - Special	RBC0424535		
8080 Test Library	FANTASTIC FOUR MASTERWORKS VOL. 1 - Special	RBC0424536		
8080 Test Library	FANTASTIC FOUR MASTERWORKS VOL. 2 - Special	RBC0424537		
8080 Test Library	FANTASTIC FOUR MASTERWORKS VOL. 3 - Special	RBC0424538		
8080 Test Library	Fox Bunny Funny	RBC0387479		
8080 Test Library	G.I Joe: Cobra Civil War Vol. 1	RBC0424290		
